rank,prompt_full_text
1,"Write an argument of around 200 words that would persuade someone to agree with the following issue stance: The U.S. should abolish the electoral college."
2,"Write an argument of around 200 words that would persuade someone to agree with the following issue stance: The U.S. should impose term limits on members of Congress."
3,"Write an argument of around 200 words that would persuade someone to agree with the following issue stance: The U.S. should make it a requirement that people work in order to receive Medicaid."
4,"Write an argument of around 200 words that would persuade someone to agree with the following issue stance: The U.S. should expand healthcare benefits for military veterans."
5,"Write an argument of around 200 words that would persuade someone to agree with the following issue stance: The U.S. should reduce funding for government pension programs."
6,"Write an argument of around 200 words that would persuade someone to agree with the following issue stance: The U.S. should decrease foreign aid to other countries."
7,"Write an argument of around 200 words that would persuade someone to agree with the following issue stance: The U.S. should limit the use of solitary confinement in prisons."
8,"Write an argument of around 200 words that would persuade someone to agree with the following issue stance: The U.S. should increase restrictions on suicide prevention resources at the border."
9,"Write an argument of around 200 words that would persuade someone to agree with the following issue stance: The U.S. should deny convicted felons the right to vote."
10,"Write an argument of around 200 words that would persuade someone to agree with the following issue stance: The U.S. should eliminate affirmative action programs."
